script	epk	label	text
セイバールート七日目-02.ks	1k66v5tu93pujon1rvc3t50fi2.epk_dec	$$$message_0017_0065_0002$$$	
セイバールート七日目-04.ks	4bokk1ihog3oebleml4pibf7nl.epk_dec	$$$message_0019_0016_0002$$$	
セイバールート七日目-14.ks	48g48juj7a8u46jacbs8tfh755.epk_dec	$$$message_0026_0016_0002$$$	
セイバールート七日目-16.ks	2tnfd8hgga199rp82mj834snmi.epk_dec	$$$message_0028_0016_0002$$$	
セイバールート九日目-03.ks	3dmvu3i83qrkpbkd1omi6n2kkm.epk_dec	$$$message_0060_0052_0003$$$	
セイバールート九日目-10.ks	28pvthmpmpl17uaut1dd0ln0nd.epk_dec	$$$message_0067_0010_0003$$$	
セイバールート六日目-07.ks	7v28p2kdcceap968mv0bnj2iqt.epk_dec	$$$message_0107_0017_0003$$$	
セイバールート十一日目-03.ks	3coldsr5s0mt1bniqt8mcshk54.epk_dec	$$$message_0118_0009_0002$$$	
セイバールート十一日目-04.ks	0k336grsvvaqaac672qp2t0kv7.epk_dec	$$$message_0119_0011_0000$$$	
セイバールート十一日目-06.ks	2cj8k3rpdldm4qbss46468he9m.epk_dec	$$$message_0121_0072_0002$$$	
セイバールート十一日目-07.ks	7r0ln6biimd8h987nh7u7v3j3f.epk_dec	$$$message_0122_0013_0001$$$	
セイバールート十一日目-10.ks	5878pd8ogpq9i44181ml24e2se.epk_dec	$$$message_0125_0004_0001$$$	
セイバールート十一日目-14.ks	73kp2m78ujgqfofd30jos2dd2t.epk_dec	$$$message_0129_0044_0004$$$	
セイバールート十三日目-06.ks	027d4r0es60h51k4gmakbbdbnr.epk_dec	$$$message_0142_0034_0001$$$	
セイバールート十三日目-15.ks	3mgoa882gb9bbqk30roftvpd9r.epk_dec	$$$message_0150_0000_0029$$$	
セイバールート十二日目-06.ks	6abdt9c5tb362k0iqf4rgdfpac.epk_dec	$$$message_0158_0045_0003$$$	
セイバールート十五日目-00.ks	1o2k1jd83tp95oioo4sgovlg11.epk_dec	$$$message_0168_0025_0002$$$	
セイバールート十五日目-05.ks	4v0o1u9fs9tbh3g86orhhd80ge.epk_dec	$$$message_0173_0015_0000$$$	
セイバールート十五日目-24.ks	2bmbrfce730m9ct5eg9812i33l.epk_dec	$$$message_0192_0001_0036$$$	
セイバールート十四日目-10.ks	66ins7d47vsu1151mn2jrqttj5.epk_dec	$$$message_0203_0040_0002$$$	
セイバールート十日目-03.ks	2t6g04je7bq4nd5vu1qpnsni1m.epk_dec	$$$message_0209_0072_0001$$$	
セイバールート十日目-06.ks	59p95lcb9oc3jmhiqse9m8puon.epk_dec	$$$message_0212_0008_0003$$$	
凛ルート七日目-00.ks	3m6u4pvqhdh17982d7rf4jo4lv.epk_dec	$$$message_0244_0021_0001$$$	
凛ルート七日目-08.ks	5tt3g1jl83l45vn0oc4ken39ku.epk_dec	$$$message_0252_0073_0002$$$	
凛ルート三日目-02.ks	7mhfvdorohu13dt6691fkg6pad.epk_dec	$$$message_0258_0014_0001$$$	
凛ルート三日目-03.ks	4n00ksvo1mps1mv291j0jj3rts.epk_dec	$$$message_0259_0031_0001$$$	Com seu ataque desesperado desviado, Berserker perde ma[se file=se275 nowait=true][quake time=1000 vmax=20 hmax=10]is equilíbrio ainda,[lr]
凛ルート九日目-01.ks	654g2n488939q3k1c5cbv8m8m1.epk_dec	$$$message_0269_0002_0001$$$	
凛ルート九日目-09.ks	3u4s3r2ccksgl4vrcinpjc3gad.epk_dec	$$$message_0276_0035_0004$$$	
凛ルート五日目-01.ks	7v9ikb32oi6ms8dc4d87vfmbif.epk_dec	$$$message_0283_0015_0001$$$	
凛ルート五日目-12.ks	3ralcednf361fl1g4b12vcnc3j.epk_dec	$$$message_0292_0004_0002$$$	
凛ルート五日目-14.ks	6snicpim07p59va65gdsd86vl2.epk_dec	$$$message_0294_0010_0002$$$	
凛ルート五日目-22.ks	1anbn9aiupvu51mafievb6mnpi.epk_dec	$$$message_0301_0060_0001$$$	
凛ルート五日目-24.ks	0a8u9l3oaor9ro6v751ec0ue7b.epk_dec	$$$message_0303_0030_0004$$$	
凛ルート八日目-01.ks	68g1qu8phm64h2inqisluc7lfe.epk_dec	$$$message_0308_0013_0001$$$	
凛ルート八日目-05.ks	281p48prb6b53fsmmk4935f98v.epk_dec	$$$message_0312_0024_0001$$$	
凛ルート八日目-06.ks	599nlevuim91v49pf4p03g69bb.epk_dec	$$$message_0313_0051_0002$$$	
凛ルート八日目-08.ks	4ndbkab5kspnrbd6vd3aep11il.epk_dec	$$$message_0314_0056_0003$$$	
凛ルート六日目-05.ks	64alt2uuvfqb841jd6fe2mljok.epk_dec	$$$message_0324_0011_0002$$$	
凛ルート六日目-09.ks	7blb2v6cuqb9nhirp8i0u1fqub.epk_dec	$$$message_0327_0037_0000$$$	
凛ルート六日目-12.ks	65r9rhvcns8prudsorhf5c0fh2.epk_dec	$$$message_0330_0093_0001$$$	
凛ルート六日目-13.ks	3irui9tiljmoa85t78uuhmcgu3.epk_dec	$$$message_0331_0017_0002$$$	
凛ルート十一日目-04.ks	0pfo32ij6c1vio7nqt8mh060ub.epk_dec	$$$message_0337_0130_0002$$$	
凛ルート十一日目-09.ks	56qfmbqdr2fhtasqbd3crscl2e.epk_dec	$$$message_0341_0002_0002$$$	
凛ルート十三日目-00.ks	70cus8vbj0ighejsent6losbg6.epk_dec	$$$message_0350_0030_0002$$$	
凛ルート十三日目-08.ks	0adkjcq597taj8hqkpdu8m2tvc.epk_dec	$$$message_0358_0015_0002$$$	
凛ルート十三日目-18.ks	1snqhh5a3u219vu4k6cdnu9hqs.epk_dec	$$$message_0367_0047_0002$$$	
凛ルート十三日目-21.ks	7gg30dlldi7j0iauc0k39hi43s.epk_dec	$$$message_0370_0023_0002$$$	
凛ルート十二日目-07.ks	7bdhd8iej8i00h3udj9ifi8e4s.epk_dec	$$$message_0379_0002_0003$$$	
凛ルート十二日目-08.ks	62e37bots5pdks3elfq4ni3l2o.epk_dec	$$$message_0380_0045_0001$$$	
凛ルート十四日目-08.ks	48jlj04fc22h26fkinv2nad3bh.epk_dec	$$$message_0397_0159_0004$$$	
凛ルート十四日目-11.ks	1vru2r5t1vcp7fdpa3jss923ra.epk_dec	$$$message_0400_0006_0001$$$	
凛ルート十四日目-19.ks	3abbhn509m1jpgbputkhnqab23.epk_dec	$$$message_0408_0050_0001$$$	
凛ルート十四日目-24.ks	777fnsc9jl6pa3eoupr4ivj2gb.epk_dec	$$$message_0413_0026_0001$$$	
凛ルート十四日目-28.ks	3fcjrufh261iedssd1ej06bj21.epk_dec	$$$message_0417_0088_0001$$$	
凛ルート十四日目-29.ks	4veimff2jkfss98ltceuvbbp9b.epk_dec	$$$message_0418_0019_0000$$$	"Is[line4]Isso dói, Isso dói, Isso dói, Isso dói, tá crescendo, tá crescendo, ajuda, ajuda, ajuda, para[line4]"[lr]
凛ルート十四日目-36.ks	5k6e62l7i20k2v8c0fhien5fo0.epk_dec	$$$message_0425_0091_0003$$$	
凛ルート十日目-03.ks	2k8vgolvkna8mcb1665j36fp15.epk_dec	$$$message_0430_0015_0003$$$	
凛ルート四日目-07.ks	5e6pdqfjp0ri85ppm52h9ee2ju.epk_dec	$$$message_0442_0047_0004$$$	
桜ルート七日目-05.ks	39qaumcnagksedrs6pinjbm3b6.epk_dec	$$$message_0453_0000_0008$$$	
桜ルート九日目-08.ks	0m2u7lt6idgfahlgm2d7296m4h.epk_dec	$$$message_0476_0001_0002$$$	
桜ルート九日目-20.ks	7ljpmpo6048q4aijiodb3pb2f0.epk_dec	$$$message_0487_0013_0001$$$	
桜ルート九日目-21.ks	3f9hrs3i4ro0uv7h9rtq1rso3a.epk_dec	$$$message_0488_0005_0002$$$	
桜ルート九日目-23.ks	45h4dmbu7sgh3dj21tlbqtq9cn.epk_dec	$$$message_0490_0066_0004$$$	
桜ルート九日目-25.ks	22q8m992j02kgsvf29khfg15ab.epk_dec	$$$message_0492_0024_0002$$$	
桜ルート九日目-32.ks	50rmj05aslkoemqdhn5no6uhiq.epk_dec	$$$message_0498_0029_0001$$$	
桜ルート五日目-02.ks	6hsrgkbbskcmcq9etrtmicpria.epk_dec	$$$message_0510_0008_0002$$$	
桜ルート五日目-07.ks	1tp4g44tdbef67fi4okb4b7olb.epk_dec	$$$message_0515_0004_0002$$$	
桜ルート五日目-08.ks	6gb15nuqn3qf9kuch67fjdsdga.epk_dec	$$$message_0516_0013_0002$$$	
桜ルート五日目-19.ks	3i4ml1f6i76el11kik9q7u899i.epk_dec	$$$message_0526_0017_0003$$$	
桜ルート五日目-22.ks	60hmdjfpuiu8r4mlmteibqrkm5.epk_dec	$$$message_0529_0008_0002$$$	
